"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"ATMEGA328P-AU","Microchip Technology","ATMEGA328P-AU-ND","IC1, IC2","","Tray","Active","2","2.01000","$4.02","476","9 Weeks","IC MCU 8BIT 32KB FLASH 32TQFP","ROHS3 Compliant","Lead free","REACH Unaffected"
"SFH11-PBPC-D10-ST-BK","Sullins Connector Solutions","S9197-ND","","","Tray","Active","1","1.15000","$1.15","2061","5 Weeks","CONN HDR 20POS 0.1 GOLD PCB","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL31B104KBCNNNC","Samsung Electro-Mechanics","1276-1017-1-ND","C1, C4","","Cut Tape (CT)","Active","2","0.14000","$0.28","726158","22 Weeks","CAP CER 0.1UF 50V X7R 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"PREC003DAAN-RC","Sullins Connector Solutions","S2012EC-03-ND","ISP","","Bag","Active","2","0.18000","$0.36","1959","Not Available","CONN HEADER VERT 6POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC1206JR-0710KL","Yageo","311-10KERCT-ND","R1, R2","","Cut Tape (CT)","Active","2","0.10000","$0.20","5106393","33 Weeks","RES SMD 10K OHM 5% 1/4W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"MJTP1230","APEM Inc.","679-2428-ND","","","Bulk","Active","5","0.10000","$0.50","26303","6 Weeks","SWITCH TACTILE SPST-NO 0.05A 12V","ROHS3 Compliant","Lead free","REACH Unaffected"
"9B-12.000MAAE-B","TXC CORPORATION","887-2010-ND","Q1, Q2","","Bulk","Active","2","0.33000","$0.66","412","13 Weeks","CRYSTAL 12.0000MHZ 12PF T/H","RoHS Compliant","Lead free","Not Available"
"C1206C160J5GAC7800","KEMET","399-17465-1-ND","C2, C3, C5, C6","","Cut Tape (CT)","Active","4","0.52000","$2.08","2056","8 Weeks","CAP CER 16PF 50V NP0 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
