"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"54","Keystone Electronics","36-54-ND","","","Bulk","Active","10","0.57000","$5.70","66272","6 Weeks","BATTERY CONTACT CLP 18650 PC PIN","ROHS3 Compliant","Lead free","REACH Unaffected"
"MCP73831T-2ACI/OT","Microchip Technology","MCP73831T-2ACI/OTCT-ND","","","Cut Tape (CT)","Active","5","0.56000","$2.80","0","6 Weeks","IC CONTROLLR LI-ION 4.2V SOT23-5","ROHS3 Compliant","Lead free","REACH Unaffected"
"151031YS05900","Würth Elektronik","732-5009-ND","","","Bulk","Active","5","0.17000","$0.85","450","11 Weeks","LED YELLOW DIFF 3MM ROUND T/H","ROHS3 Compliant","Lead free","REACH Unaffected"
"151031VS06000","Würth Elektronik","732-5008-ND","","","Bulk","Active","5","0.16000","$0.80","21618","11 Weeks","LED GREEN DIFFUSED 3MM ROUND T/H","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL31B106MOHNNNE","Samsung Electro-Mechanics","1276-6641-1-ND","","","Cut Tape (CT)","Active","10","0.16900","$1.69","458051","22 Weeks","CAP CER 10UF 16V X7R 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"RC1206FR-073K32L","Yageo","311-3.32KFRCT-ND","","","Cut Tape (CT)","Active","5","0.10000","$0.50","269819","33 Weeks","RES SMD 3.32K OHM 1% 1/4W 1206","ROHS3 Compliant","Lead free","REACH Unaffected"
"CRGCQ1206F120R","TE Connectivity Passive Product","A129799CT-ND","","","Cut Tape (CT)","Active","10","0.06700","$0.67","47388","Not Available","CRGCQ 1206 120R 1%","RoHS Compliant","Lead free","Not Available"
"4090","Adafruit Industries LLC","1528-2873-ND","","","Bulk","Active","1","2.95000","$2.95","73","13 Weeks","ADAFRUIT USB C BREAKOUT BOARD -","ROHS3 Compliant","Lead free","Not Available"
