"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"SN74LVC245AN","Texas Instruments","296-8503-5-ND","","","Tube","Active","1","0.59000","$0.59","1565","6 Weeks","IC TXRX NON-INVERT 3.6V 20DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"MCP1700-3302E/TO","Microchip Technology","MCP1700-3302E/TO-ND","","","Bag","Active","1","0.37000","$0.37","1586","10 Weeks","IC REG LINEAR 3.3V 250MA TO92-3","ROHS3 Compliant","Lead free","REACH Unaffected"
"SFH11-NBPC-D03-ST-BK","Sullins Connector Solutions","S9717-ND","","","Tray","Active","1","0.68000","$0.68","587","5 Weeks","CONN HDR 6POS 0.1 GOLD PCB","ROHS3 Compliant","Lead free","REACH Unaffected"
"61200621621","Würth Elektronik","732-5394-ND","","","Tray","Active","2","0.45000","$0.90","4901","15 Weeks","CONN HEADER VERT 6POS 2.54MM","ROHS3 Compliant","Lead free","REACH Unaffected"
